iter	Passed	Remaining
0	1	157
1	3	156
2	4	155
3	5	143
4	7	144
5	9	145
6	10	144
7	12	141
8	13	139
9	15	138
10	16	137
11	18	136
12	20	135
13	21	134
14	23	133
15	25	131
16	26	131
17	28	130
18	30	129
19	32	128
20	33	127
21	35	125
22	37	124
23	38	122
24	39	119
25	41	117
26	42	115
27	44	113
28	45	111
29	46	109
30	48	107
31	49	104
32	50	102
33	51	100
34	53	98
35	54	96
36	55	94
37	56	92
38	57	90
39	58	88
40	59	86
41	60	83
42	61	81
43	62	79
44	63	77
45	64	75
46	65	73
47	66	71
48	66	69
49	67	67
50	68	66
51	69	64
52	70	62
53	71	60
54	71	58
55	72	57
56	73	55
57	74	53
58	75	52
59	76	50
60	76	49
61	77	47
62	78	46
63	79	44
64	80	43
65	80	41
66	81	40
67	82	38
68	83	37
69	83	35
70	84	34
71	85	33
72	86	31
73	86	30
74	87	29
75	88	27
76	89	26
77	90	25
78	90	24
79	91	22
80	92	21
81	92	20
82	93	19
83	94	17
84	95	16
85	95	15
86	96	14
87	97	13
88	97	12
89	98	10
90	99	9
91	99	8
92	100	7
93	101	6
94	102	5
95	103	4
96	104	3
97	105	2
98	105	1
99	106	0
